X,Y,Year
-119.472700163198,49.0023829639957,2015
-119.465308437691,49.0026891378262,2015
-119.469253070831,49.0029345584925,2015
-119.467646865966,49.0035541814464,2015
-119.470300228651,49.0051276747407,2015
-119.464322509599,49.0053175639812,2015
-119.467815927279,49.0070620008424,2015
-119.464921272629,49.0071076275528,2015
-119.472053949795,49.0111745149725,2015
-119.46162505169,49.0113721452708,2015
-119.457965540767,49.0118189809807,2015
-119.467657382247,49.0124017313773,2015
-119.465845036322,49.012977515017,2015
-119.472718345063,49.0148337374259,2015
-119.478609508539,49.0176174490592,2015
-119.472635029073,49.0178526757555,2015
-119.475920366848,49.0179218168415,2015
-119.470255715572,49.0181332636837,2015
-119.473137487187,49.0187999655947,2015
-119.473457870087,49.0199177783814,2015
-119.476272160233,49.0228981050157,2015
-119.577305864985,49.1115401900932,2009
-119.583222332133,49.1553695106791,2009
-119.563874358495,49.1622538606933,2009
-119.47870238018,49.0225313705492,2015
-119.47860707852,49.0250705027879,2015
-119.477135054742,49.0266572183589,2015
-119.480148566053,49.0300985729911,2015
-119.476569932375,49.0305866274792,2015
-119.478204817456,49.0338684265647,2015
-119.480430500109,49.034061062775,2015
-119.484925310442,49.0376779796971,2015
-119.486687243989,49.0385498443906,2015
-119.475673187111,49.0390379802928,2015
-119.484111230442,49.0392457447433,2015
-119.479370861007,49.039580133439,2015
-119.490103582556,49.0413150560077,2015
-119.496941621611,49.0415722509126,2015
-119.478436710328,49.0420316675711,2015
-119.491173355522,49.042249027538,2015
-119.483333930272,49.0426323007744,2015
-119.481188041813,49.0426897307379,2015
-119.471340205075,49.042748849676,2015
-119.494121116355,49.0432598004909,2015
-119.499474067823,49.0434828259079,2015
-119.480885387357,49.0446707532455,2015
-119.485611475073,49.0449488403613,2015
-119.49665713361,49.0460070565159,2015
-119.491778359335,49.0461549372624,2015
-119.500507606213,49.0462270122456,2015
-119.493305731705,49.0468300623862,2015
-119.488702709763,49.0470256514494,2015
-119.499675238728,49.0482989212458,2015
-119.496613587481,49.0490336922644,2015
-119.500747428305,49.0496589279176,2015
-119.502202671092,49.0506102603077,2015
-119.503665381491,49.051071629837,2015
-119.49420537916,49.0515068159454,2015
-119.504708109138,49.0525800559817,2015
-119.5045313435,49.0550679838343,2015
-119.504801006168,49.0564782142763,2015
-119.499827435765,49.0568521475549,2015
-119.511498234191,49.0578256798562,2015
-119.501610837002,49.0580779725066,2015
-119.506544308774,49.0584611897835,2015
-119.508043156864,49.0591372811287,2015
-119.509061673998,49.060012104374,2015
-119.510112508209,49.0608102829844,2015
-119.511485689433,49.0614190700373,2015
-119.512764610798,49.0620909821582,2015
-119.514976486668,49.0622832585,2015
-119.517040894803,49.062637413063,2015
-119.519299325641,49.0629480674264,2015
-119.525755711397,49.0677851283623,2015
-119.527313752448,49.0690609271459,2015
-119.527326588508,49.0706519892765,2015
-119.53881872618,49.0779239589732,2015
-119.545091155254,49.0817521321778,2015
-119.557322668831,49.0913996323187,2015
-119.565006374794,49.1183547325334,2015
-119.561902782879,49.1193217412254,2015
-119.572854092591,49.127066145009,2015
-119.565700246565,49.1271980963187,2015
-119.572842063327,49.1285098457941,2015
-119.568421032785,49.130391311371,2015
-119.56636457162,49.1305292862857,2015
-119.56555377066,49.1337206333716,2015
-119.563477628574,49.1372106216158,2015
